time,Purity
2023-03-13 19:33:15,100.9613
2023-03-13 19:33:20,100.9773
2023-03-13 19:33:25,100.9643
2023-03-13 19:33:30,100.9683
2023-03-13 19:33:35,100.9713
2023-03-13 19:33:40,100.9683
2023-03-13 19:33:45,100.9723
2023-03-13 19:33:50,100.9733
2023-03-13 19:33:55,100.9753
2023-03-13 19:34:01,100.9494
2023-03-13 19:34:06,100.9643
2023-03-13 19:34:11,101.0469
2023-03-13 19:34:16,100.9474
2023-03-13 19:34:21,100.9803
2023-03-13 19:34:26,101.03
2023-03-13 19:34:31,100.9753
2023-03-13 19:34:36,100.9494
2023-03-13 19:34:41,100.9773
2023-03-13 19:34:46,100.9564
2023-03-13 19:34:51,100.9663
2023-03-13 19:34:56,100.9723
2023-03-13 19:35:01,100.9683
2023-03-13 19:35:06,100.9444
2023-03-13 19:35:11,100.9514
2023-03-13 19:35:16,100.9544
2023-03-13 19:35:21,100.9474
2023-03-13 19:35:26,100.9613
2023-03-13 19:35:31,100.9653
2023-03-13 19:35:37,100.9922
2023-03-13 19:35:42,100.9673
2023-03-13 19:35:47,100.9574
2023-03-13 19:35:52,100.9454
2023-03-13 19:35:57,100.9613
2023-03-13 19:36:02,100.9394
2023-03-13 19:36:07,100.9524
2023-03-13 19:36:12,100.9604
2023-03-13 19:36:17,101.0479
2023-03-13 19:36:22,101.0111
2023-03-13 19:36:27,100.9354
2023-03-13 19:36:32,100.9504
2023-03-13 19:36:37,100.9753
2023-03-13 19:36:42,100.9613
2023-03-13 19:36:47,100.9813
2023-03-13 19:36:52,100.9683
2023-03-13 19:36:57,100.9384
2023-03-13 19:37:02,100.9554
2023-03-13 19:37:07,100.9354
2023-03-13 19:37:13,100.9723
2023-03-13 19:37:18,100.9334
2023-03-13 19:37:23,100.9244
2023-03-13 19:37:28,101.0201
2023-03-13 19:37:33,101.0459
2023-03-13 19:37:38,100.9643
2023-03-13 19:37:43,100.9504
2023-03-13 19:37:48,100.9863
2023-03-13 19:37:53,100.9673
2023-03-13 19:37:58,100.9404
2023-03-13 19:38:03,100.9165
2023-03-13 19:38:08,100.9793
2023-03-13 19:38:13,100.9274
2023-03-13 19:38:18,100.9623
2023-03-13 19:38:23,100.9524
2023-03-13 19:38:28,100.9703
2023-03-13 19:38:33,100.9633
2023-03-13 19:38:38,100.9873
2023-03-13 19:38:43,100.9922
2023-03-13 19:38:49,100.9604
2023-03-13 19:38:54,100.9594
2023-03-13 19:38:59,100.9454
2023-03-13 19:39:04,100.9424
2023-03-13 19:39:09,100.9713
2023-03-13 19:39:14,100.9574
2023-03-13 19:39:19,100.9324
2023-03-13 19:39:24,100.9504
2023-03-13 19:39:29,100.9514
2023-03-13 19:39:34,100.9803
2023-03-13 19:39:39,100.9404
2023-03-13 19:39:44,100.9384
2023-03-13 19:39:49,100.9653
2023-03-13 19:39:54,100.9763
2023-03-13 19:39:59,100.9683
2023-03-13 19:40:04,100.9454
2023-03-13 19:40:09,100.9424
2023-03-13 19:40:14,100.9244
2023-03-13 19:40:19,100.9344
2023-03-13 19:40:25,100.9154
2023-03-13 19:40:30,100.9673
2023-03-13 19:40:35,100.9843
2023-03-13 19:40:40,100.9693
2023-03-13 19:40:45,100.9185
2023-03-13 19:40:50,100.9534
2023-03-13 19:40:55,100.9434
2023-03-13 19:41:00,100.9723
2023-03-13 19:41:05,101.0419
2023-03-13 19:41:10,100.9594
2023-03-13 19:41:15,100.9314
2023-03-13 19:41:20,100.9633
2023-03-13 19:41:25,100.9633
2023-03-13 19:41:30,100.9564
2023-03-13 19:41:35,101.031
2023-03-13 19:41:40,100.9504
2023-03-13 19:41:45,100.9544
2023-03-13 19:41:50,100.9334
2023-03-13 19:41:55,100.9384
2023-03-13 19:42:00,100.9574
2023-03-13 19:42:06,100.9384
2023-03-13 19:42:11,100.9484
2023-03-13 19:42:16,100.9374
2023-03-13 19:42:21,100.9464
2023-03-13 19:42:26,100.9564
2023-03-13 19:42:31,100.9713
2023-03-13 19:42:36,100.9623
2023-03-13 19:42:41,100.9374
2023-03-13 19:42:46,100.9803
2023-03-13 19:42:51,100.9623
2023-03-13 19:42:56,100.9484
2023-03-13 19:43:01,100.9494
2023-03-13 19:43:06,101.0042
2023-03-13 19:43:11,100.9544
2023-03-13 19:43:16,100.9713
2023-03-13 19:43:21,100.9683
2023-03-13 19:43:26,100.9803
2023-03-13 19:43:31,101.029
