time,Air Velocity (m/s),BGA He Percent (%),BGA Sound Speed (m/s),Fixed Distance (m),He Velocity (m/s),Measured Distance (m),Mixture Velocity (m/s),Percent He (%),Pressure (PSIG),Temperature (K)
2023-04-13 13:23:01.165,331,94.87268829345703,881.36572265625,0.800000011920929,973,0.31469908356666565,841.4387817382812,95.58766484260559,0.15149784088134766,295.6000061035156
2023-04-13 13:22:30.715,,94.91319274902344,882.2338256835938,,,0.31447914242744446,842.0272827148438,95.61211466789246,0.15311431884765625,
2023-04-13 13:22:00.714,331,94.951171875,883.1018676757812,0.800000011920929,973,0.3141666650772095,842.8648071289062,95.64682841300964,0.15473175048828125,295.6000061035156
2023-04-13 13:21:30.947,,94.990234375,883.9699096679688,,,0.31383103132247925,843.7662353515625,95.68407535552979,0.15473175048828125,
2023-04-13 13:21:01.044,331,95.02965545654297,884.765625,0.800000011920929,973,0.3135300874710083,844.5761108398438,95.71743607521057,0.15796470642089844,295.6000061035156
2023-04-13 13:20:30.718,,95.06582641601562,885.6337280273438,,,0.3132176101207733,845.418701171875,95.75203657150269,0.15958213806152344,
2023-04-13 13:20:00.793,331,95.10308074951172,886.4293823242188,0.800000011920929,973,0.31289350986480713,846.2943725585938,95.78789472579956,0.16281509399414062,295.6000061035156
2023-04-13 13:19:30.907,,95.14141845703125,887.2974243164062,,,0.31259259581565857,847.1090698242188,95.82114815711975,0.1660480499267578,
2023-04-13 13:19:00.928,331,95.18048095703125,888.16552734375,0.800000011920929,973,0.3122800886631012,847.956787109375,95.85565328598022,0.1676654815673828,295.6000061035156
2023-04-13 13:18:30.633,,95.21556854248047,888.9612426757812,,,0.31188657879829407,849.0266723632812,95.89905738830566,0.172515869140625,
2023-04-13 13:18:00.745,331,95.25535583496094,889.8292846679688,0.800000011920929,973,0.31165510416030884,849.6572265625,95.92455625534058,0.1757488250732422,295.6000061035156
2023-04-13 13:17:30.855,,95.29405212402344,890.6973876953125,,,0.3113541603088379,850.478515625,95.95769047737122,0.1773662567138672,
2023-04-13 13:17:00.904,331,95.32986450195312,891.5653686523438,0.800000011920929,973,0.31094908714294434,851.58642578125,96.00223302841187,0.18059921264648438,295.6000061035156
2023-04-13 13:16:30.638,,95.36820220947266,892.4334716796875,,,0.3106597065925598,852.3796997070312,96.0340142250061,0.18383216857910156,
2023-04-13 13:16:00.728,331,95.40689849853516,893.301513671875,0.800000011920929,973,0.3104398250579834,852.9833984375,96.05814814567566,0.18706703186035156,295.6000061035156
2023-04-13 13:15:30.831,,95.44306945800781,894.0972290039062,,,0.3100578784942627,854.0341796875,96.10002636909485,0.19191741943359375,
